List Sr.No.,Set No.,2022 Set,First Name,Surname,Country,State Association,DOB,Age,Specialism,,,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2021 Team,2021 IPL,C/U/A,Reserve Price Rs Lakh
523,56,UFA9,V.,Gowtham,India,TNCA,09-07-2002,19,BOWLER,LHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
524,56,UFA9,Khwezi,Gumede,South Africa,,19-06-1999,22,BOWLER,RHB,LEFT ARM Fast,,,,,,,,Uncapped,20
525,56,UFA9,Liam,Guthrie,Australia,,09-04-1997,24,BOWLER,LHB,LEFT ARM Fast,,,,,,,,Uncapped,20
526,56,UFA9,Liam,Hatcher,Australia,,17-09-1996,25,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
527,57,UAL10,Jay,Bista,India,CAU,23-12-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
528,57,UAL10,Saurav,Chuahan,India,GUCA,27-05-2000,21,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
529,57,UAL10,Tajinder,Dhillon,India,RCA,25-05-1992,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,0,"MI, KXIP",,,Uncapped,20
530,57,UAL10,Dikshanshu,Negi,India,CAU,05-10-1990,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
531,57,UAL10,Abhishek,Raut,India,OCA,03-03-1987,35,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,22,RR,,,Uncapped,20
532,57,UAL10,K.V.,Sasikanth,India,ACA,17-07-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
533,57,UAL10,Bharat,Sharma,India,CAP,15-11-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
534,57,UAL10,Shivam,Sharma,India,UPCA,14-11-1995,26,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,5,KXIP,,,Uncapped,20
535,57,UAL10,Arjun,Tendulkar,India,MCA,24-09-1999,22,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,,,,0,MI,MI,0,Uncapped,20
536,57,UAL10,Amit,Yadav,India,GCA,10-10-1989,32,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,0,KXIP,,,Uncapped,20
537,58,UAL11,Manoj,Bhandage,India,KSCA,05-10-1998,23,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
538,58,UAL11,Arun,Chaprana,India,HCA,05-01-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20
539,58,UAL11,Ajay Dev,Goud,India,HYCA,15-02-2000,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
540,58,UAL11,Divyang,Hinganekar,India,MACA,14-10-1993,28,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
541,58,UAL11,Azim,Kazi,India,MACA,14-10-1993,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
542,58,UAL11,Sujit,Nayak,India,MCA,23-06-1989,32,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
543,58,UAL11,Parth,Sahani,India,MPCA,09-03-1993,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
544,58,UAL11,Ashutosh,Sharma,India,MPCA,15-09-1998,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
545,58,UAL11,Vivrant,Sharma,India,JKCA,30-10-1999,22,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
546,58,UAL11,Kumar Kartikeya,Singh,India,MPCA,26-12-1997,24,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
547,59,UAL12,Ravi,Chauhan,India,SSCB,17-09-1993,28,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
548,59,UAL12,Shubham,Garhwal,India,RCA,14-05-1995,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
549,59,UAL12,Shafiqullah,Ghafari,Afghanistan,,08-10-2001,20,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
550,59,UAL12,M.,Mohammed,India,TNCA,03-12-1991,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
551,59,UAL12,Pulkit,Narang,India,SSCB,18-06-1994,27,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
552,59,UAL12,Pradosh,Paul,India,TNCA,21-12-2000,21,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
553,59,UAL12,Pushpendra Singh,Rathore,India,RCA,14-02-2002,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
554,59,UAL12,Jason,Sangha,Australia,,08-09-1999,22,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
555,59,UAL12,Purnank,Tyagi,India,UPCA,20-01-2001,21,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
556,59,UAL12,Samarth,Vyas,India,SCA,28-11-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
557,60,UAL13,Duan,Jansen,South Africa,,01-05-2000,21,ALL-ROUNDER,RHB,LEFT ARM Fast,,,,,,,,Uncapped,20
558,60,UAL13,Dev,Lakra,India,DDCA,27-01-2003,19,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
559,60,UAL13,Ajay,Mandal,India,CSCSCA,25-02-1996,26,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,,,,,,,,Uncapped,20
560,60,UAL13,Lakhan,Raja,India,BICA,15-10-1994,27,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
561,60,UAL13,Girinath,Reddy,India,ACA,08-10-1998,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
562,60,UAL13,Siddhant,Sharma,India,DDCA,11-12-1996,25,ALL-ROUNDER,LHB,LEFT ARM Medium,,,,,,,,Uncapped,20
563,60,UAL13,Matthew,Short,Australia,,08-11-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
564,60,UAL13,Anunay,Singh,India,BICA,03-01-1993,29,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
565,60,UAL13,Saurin,Thakar,India,BCA,04-10-1998,23,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
566,60,UAL13,Nyeem,Young,West Indies,,22-09-2000,21,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20
567,61,UAL14,Yuvraj,Chaudhary,India,UTCA,06-10-2001,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
568,61,UAL14,Khizar,Dafedar,India,MCA,10-10-1997,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
569,61,UAL14,Sahil,Dhiwan,India,RCA,03-07-1997,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
570,61,UAL14,Arjit,Gupta,India,RCA,12-09-1989,32,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
571,61,UAL14,Mickil,Jaiswal,India,HYCA,10-05-1998,23,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
572,61,UAL14,Ryan,John,West Indies,,25-09-1997,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
573,61,UAL14,J.,Kousik,India,TNCA,23-05-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
574,61,UAL14,Jitender,Pal,India,HCA,20-12-1999,22,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
575,61,UAL14,Jonty,Sidhu,India,DDCA,09-12-1997,24,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
576,61,UAL14,Yashovardhan,Singh,India,UPCA,21-08-2002,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
577,61,UAL14,Beyers,Swanepoel,South Africa,,06-05-1998,23,ALL-ROUNDER,LHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
578,61,UAL14,Pranshu,Vijayran,India,DDCA,18-11-1995,26,ALL-ROUNDER,LHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
579,62,UAL15,Ishan,Afridi,India,MPCA,15-10-2002,19,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
580,62,UAL15,Mohammed,Afridi,India,HYCA,18-10-1998,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
581,62,UAL15,Prerit,Agrawal,India,VCA,11-04-2001,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
582,62,UAL15,Aidan,Cahill,Australia,,20-03-2003,19,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
583,62,UAL15,Mark,Deyal,West Indies,,07-04-1993,28,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
584,62,UAL15,Nidhish,Rajagopal,India,TNCA,30-01-2000,22,ALL-ROUNDER,LHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
585,62,UAL15,Bavanaka,Sandeep,India,HYCA,25-04-1992,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,0,SRH,,,Uncapped,20
586,62,UAL15,Safyaan,Sharif,Scotland,,24-05-1991,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Associate,20
587,62,UAL15,Henry,Shipley,New Zealand,,10-05-1996,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
588,62,UAL15,Maxwell,Swaminathan,India,MCA,18-01-1999,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
589,62,UAL15,Johan,Van Dyk,South Africa,,23-01-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
590,62,UAL15,Dunith,Wellalage,Sri Lanka,,09-01-2003,19,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
